# ell  Dl_TT  Dl_EE  Dl_TE
    1608    1.254005e+02    5.420793e+00    1.157883e+01
    1620    1.105164e+02    2.789752e+00    1.837527e+00
    1632    1.123982e+02    4.624109e+00    7.357858e+00
    1644    1.153140e+02    2.545601e+00    1.988033e+00
    1656    9.847970e+01    4.702329e+00    3.553103e+00
    1668    8.118259e+01    3.141064e+00    2.935649e+00
    1680    9.547524e+01    4.278173e+00    1.844054e+00
    1692    8.011596e+01    2.572929e+00   -2.450080e+00
    1704    1.049576e+02    3.357055e+00   -1.652038e+00
    1716    9.039248e+01    2.058378e+00   -2.239558e+00
    1728    8.601169e+01    3.337382e+00   -8.871891e-01
    1740    1.035578e+02    2.606092e+00    1.460784e+00
    1752    1.079129e+02    2.314854e+00   -4.765904e+00
    1764    1.184672e+02    2.244334e+00    3.959548e+00
    1776    1.626074e+02    1.627664e+00    1.894452e+00
    1788    1.036810e+02    2.334454e+00    2.679784e+00
    1800    1.663377e+02    2.797656e+00    6.799741e+00
    1812    1.064807e+02    1.799904e+00    4.949416e+00
    1824    1.118373e+02    2.755029e+00    6.604304e+00
    1836    6.765147e+01    2.957890e+00    4.693038e+00
    1848    9.276069e+01    2.124075e+00    4.722073e+00
    1860    6.815685e+01    1.964383e+00    1.578333e+00
    1872    6.612317e+01    2.807197e+00    3.128871e+00
    1884    8.596921e+01    2.422497e+00    6.897312e+00
    1896    6.439030e+01    2.796395e+00    4.651401e+00
    1908    6.467645e+01    4.711994e+00    5.403120e+00
    1920    4.353997e+01    3.569746e+00    3.588090e-01
    1932    3.637174e+01    5.407764e+00    1.848609e+00
    1944    7.055617e+01    1.952303e+00   -3.526200e+00
    1956    6.191013e+01    4.253395e+00   -3.652735e+00
    1968    4.407312e+01    1.967823e+00   -1.242755e-01
    1980    4.832243e+01    3.183507e+00   -2.399339e+00
    1992    4.803265e+01    3.406059e+00   -2.516559e+00
    2004    8.273219e+01    1.879877e+00   -4.289853e+00
    2016    7.398176e+01    3.350328e+00   -6.555740e+00
    2028    4.188781e+01    1.056885e+00   -7.616223e-01
    2040    5.531973e+01    2.406636e+00   -4.618192e+00
    2052    4.646645e+01    1.574876e+00   -1.751733e+00
    2064    8.286378e+01    1.353905e+00   -7.237401e-01
    2076    8.940162e+01    1.188769e+00   -3.311494e+00
    2088    4.968094e+01    6.513584e-01    1.154789e+00
    2100    6.565105e+01    7.563407e-01   -2.405009e+00
    2112    4.305430e+01    1.088791e+00    1.431398e+00
    2124    5.983455e+01    1.425251e+00    2.936059e+00
    2136    6.287102e+01    1.727873e+00    5.485380e+00
    2148    3.723655e+01    1.023320e+00    1.301933e+00
    2160    5.882172e+01    1.163940e+00    5.299989e+00
    2172    5.173537e+01    1.117424e+00    3.861194e+00
    2184    3.294458e+01    2.023381e+00    3.206457e+00
    2196    4.738640e+01    2.365671e+00    3.572890e+00
    2208    2.891509e+01    9.847861e-01   -8.126877e-01
    2220    3.155862e+01    2.798261e+00    3.902679e+00
    2232    3.020480e+01    2.895083e+00    2.060237e+00
    2244    1.934932e+01    1.618598e+00   -1.022613e+00
    2256    2.478613e+01    2.762537e+00    1.878354e+00
    2268    1.839865e+01    1.566558e+00    1.248851e+00
    2280    2.272785e+01    2.027449e+00   -1.559182e+00
    2292    2.162841e+01    2.303401e+00   -4.858145e-01
    2304    1.627639e+01    7.448040e-01    4.403732e-01
    2316    2.905556e+01    1.692813e+00   -1.876103e+00
    2328    2.752272e+01    1.397020e+00   -1.707603e+00
    2340    2.006049e+01    5.556483e-01    3.209338e-01
    2352    3.119569e+01    1.035488e+00   -1.784292e+00
    2364    2.815908e+01    7.320443e-01   -5.872691e-01
    2376    2.254121e+01    5.323190e-01    9.058704e-01
    2388    3.080261e+01    5.072716e-01   -6.183519e-01
    2400    2.538774e+01    4.670397e-01    1.544644e-01
    2412    1.948972e+01    6.748294e-01    1.002202e+00
    2424    2.543334e+01    4.354097e-01    9.135428e-01
    2436    2.270132e+01    4.442065e-01    6.902803e-01
    2448    2.052237e+01    8.794828e-01    1.566976e+00
    2460    2.244700e+01    6.519579e-01    2.138263e+00
    2472    2.272692e+01    4.469077e-01    9.327359e-01
    2484    1.492672e+01    1.276401e+00    1.655599e+00
    2496    1.231542e+01    1.152149e+00    1.807042e+00
