# k[h/Mpc]  P(k)[(Mpc/h)^3]  k[1/Mpc]  P(k)[Mpc^3]
2.84047964e-04 2.06384398e+10 1.91334708e-04 6.75259382e+10
2.85308816e-04 2.03627850e+10 1.92184018e-04 6.66240363e+10
2.86575264e-04 2.00908109e+10 1.93037098e-04 6.57341772e+10
2.87847335e-04 1.98224687e+10 1.93893965e-04 6.48562009e+10
2.89125052e-04 1.95577101e+10 1.94754635e-04 6.39899496e+10
2.90408440e-04 1.92964874e+10 1.95619125e-04 6.31352675e+10
2.91697526e-04 1.90387537e+10 1.96487453e-04 6.22920009e+10
2.92992333e-04 1.87844627e+10 1.97359635e-04 6.14599980e+10
2.94292888e-04 1.85335685e+10 1.98235689e-04 6.06391091e+10
2.95599216e-04 1.82860260e+10 1.99115632e-04 5.98291865e+10
2.96911342e-04 1.80417901e+10 1.99999480e-04 5.90300825e+10
2.98229293e-04 1.78008160e+10 2.00887252e-04 5.82416506e+10
2.99553094e-04 1.75630594e+10 2.01778964e-04 5.74637462e+10
3.00882771e-04 1.73284769e+10 2.02674635e-04 5.66962267e+10
3.02218351e-04 1.70970254e+10 2.03574281e-04 5.59389514e+10
3.03559859e-04 1.68686625e+10 2.04477921e-04 5.51917817e+10
3.04907321e-04 1.66433465e+10 2.05385572e-04 5.44545808e+10
3.06260765e-04 1.64210361e+10 2.06297252e-04 5.37272140e+10
3.07620217e-04 1.62016908e+10 2.07212978e-04 5.30095482e+10
3.08985703e-04 1.59852704e+10 2.08132770e-04 5.23014526e+10
3.10357251e-04 1.57717364e+10 2.09056644e-04 5.16028007e+10
3.11734886e-04 1.55610513e+10 2.09984619e-04 5.09134703e+10
3.13118637e-04 1.53531784e+10 2.10916714e-04 5.02333408e+10
3.14508530e-04 1.51480812e+10 2.11852946e-04 4.95622928e+10
3.15904592e-04 1.49457236e+10 2.12793333e-04 4.89002086e+10
3.17306852e-04 1.47460702e+10 2.13737895e-04 4.82469718e+10
3.18715335e-04 1.45490856e+10 2.14686650e-04 4.76024675e+10
3.20130071e-04 1.43547354e+10 2.15639616e-04 4.69665821e+10
3.21551087e-04 1.41629852e+10 2.16596812e-04 4.63392035e+10
3.22978411e-04 1.39738010e+10 2.17558257e-04 4.57202209e+10
3.24412070e-04 1.37871486e+10 2.18523970e-04 4.51095216e+10
3.25852093e-04 1.36029930e+10 2.19493970e-04 4.45069917e+10
3.27298508e-04 1.34213001e+10 2.20468275e-04 4.39125190e+10
3.28751343e-04 1.32420358e+10 2.21446905e-04 4.33259926e+10
3.30210628e-04 1.30651668e+10 2.22429879e-04 4.27473034e+10
3.31676390e-04 1.28906603e+10 2.23417216e-04 4.21763438e+10
3.33148658e-04 1.27184839e+10 2.24408936e-04 4.16130078e+10
3.34627462e-04 1.25486055e+10 2.25405058e-04 4.10571909e+10
3.36112829e-04 1.23809939e+10 2.26405602e-04 4.05087902e+10
3.37604791e-04 1.22156178e+10 2.27410587e-04 3.99677041e+10
3.39103374e-04 1.20524473e+10 2.28420033e-04 3.94338343e+10
3.40608610e-04 1.18914533e+10 2.29433960e-04 3.89070855e+10
3.42120528e-04 1.17326071e+10 2.30452387e-04 3.83873639e+10
3.43639156e-04 1.15758802e+10 2.31475336e-04 3.78745768e+10
3.45164526e-04 1.14212448e+10 2.32502824e-04 3.73686326e+10
3.46696666e-04 1.12686733e+10 2.33534874e-04 3.68694410e+10
3.48235607e-04 1.11181384e+10 2.34571505e-04 3.63769128e+10
3.49781380e-04 1.09696131e+10 2.35612738e-04 3.58909601e+10
3.51334014e-04 1.08230710e+10 2.36658592e-04 3.54114959e+10
3.52893540e-04 1.06784859e+10 2.37709089e-04 3.49384346e+10
3.54459989e-04 1.05358317e+10 2.38764248e-04 3.44716912e+10
3.56033390e-04 1.03950830e+10 2.39824092e-04 3.40111819e+10
3.57613776e-04 1.02562142e+10 2.40888640e-04 3.35568237e+10
3.59201177e-04 1.01192004e+10 2.41957913e-04 3.31085348e+10
3.60795625e-04 9.98401699e+09 2.43031933e-04 3.26662345e+10
3.62397150e-04 9.85063957e+09 2.44110720e-04 3.22298432e+10
3.64005783e-04 9.71904413e+09 2.45194296e-04 3.17992823e+10
3.65621558e-04 9.58920697e+09 2.46282681e-04 3.13744743e+10
3.67244504e-04 9.46110469e+09 2.47375898e-04 3.09553424e+10
3.68874655e-04 9.33471420e+09 2.48473968e-04 3.05418114e+10
3.70512042e-04 9.21001262e+09 2.49576911e-04 3.01338061e+10
3.72156696e-04 9.08697720e+09 2.50684751e-04 2.97312523e+10
3.73808651e-04 8.96558552e+09 2.51797508e-04 2.93340766e+10
3.75467939e-04 8.84581545e+09 2.52915204e-04 2.89422066e+10
3.77134593e-04 8.72764515e+09 2.54037862e-04 2.85555707e+10
3.78808644e-04 8.61105311e+09 2.55165503e-04 2.81740987e+10
3.80490127e-04 8.49601808e+09 2.56298149e-04 2.77977211e+10
3.82179073e-04 8.38251913e+09 2.57435823e-04 2.74263692e+10
3.83875516e-04 8.27053560e+09 2.58578548e-04 2.70599756e+10
3.85579489e-04 8.16004711e+09 2.59726344e-04 2.66984735e+10
3.87291027e-04 8.05103363e+09 2.60879236e-04 2.63417974e+10
3.89010161e-04 7.94347549e+09 2.62037245e-04 2.59898830e+10
3.90736927e-04 7.83735328e+09 2.63200394e-04 2.56426668e+10
3.92471357e-04 7.73264788e+09 2.64368706e-04 2.53000861e+10
3.94213486e-04 7.62934040e+09 2.65542204e-04 2.49620792e+10
3.95963349e-04 7.52741219e+09 2.66720912e-04 2.46285851e+10
3.97720979e-04 7.42684488e+09 2.67904851e-04 2.42995437e+10
3.99486410e-04 7.32762032e+09 2.69094046e-04 2.39748955e+10
