# ell  C_l^EE  D_l^EE[muK^2]
  2148  1.27545467e-20  6.96062479e-02
  2160  1.54499389e-20  8.52604832e-02
  2172  1.18576712e-20  6.61654784e-02
  2184  1.14197567e-20  6.44278189e-02
  2196  1.47396250e-20  8.40739269e-02
  2208  1.41272513e-20  8.14638553e-02
  2220  2.91597096e-20  1.69979768e-01
  2232  2.01307811e-20  1.18619488e-01
  2244  7.31919941e-21  4.35928519e-02
  2256  2.62612348e-20  1.58087780e-01
  2268  1.32163283e-20  8.04082980e-02
  2280  5.90947806e-21  3.63347153e-02
  2292  1.40492281e-20  8.72938477e-02
  2304  1.49129097e-20  9.36328616e-02
  2316  7.85949617e-21  4.98622417e-02
  2328  6.21755437e-21  3.98551603e-02
  2340  9.17024382e-21  5.93896353e-02
  2352  5.64587927e-21  3.69405482e-02
  2364  5.31283648e-21  3.51170132e-02
  2376  3.75222091e-21  2.50539682e-02
  2388  7.65559130e-21  5.16347070e-02
  2400  5.74042787e-21  3.91075105e-02
  2412  4.11909571e-21  2.83432086e-02
  2424  6.75902769e-21  4.69722202e-02
  2436  2.47729749e-21  1.73869530e-02
  2448  3.23966276e-21  2.29621478e-02
  2460  6.76308927e-21  4.84065739e-02
  2472  9.36681393e-21  6.76981780e-02
  2484  7.12211878e-21  5.19756227e-02
  2496  3.96686297e-21  2.92295969e-02
