# ell  Dl_TT  Dl_EE  Dl_TE
    2004    2.920235e+02    8.119017e+00   -3.101172e+01
    2016    2.780000e+02    1.341510e+01   -3.857276e+01
    2028    1.590475e+02    4.122460e+00   -9.878776e+00
    2040    2.084847e+02    9.476351e+00   -2.616921e+01
    2052    1.863832e+02    6.964556e+00   -2.024209e+01
    2064    2.889734e+02    5.598571e+00   -2.325616e+01
    2076    3.224138e+02    6.749329e+00   -3.481943e+01
    2088    1.949933e+02    2.406599e+00   -6.772841e+00
    2100    2.422174e+02    4.275512e+00   -2.365120e+01
    2112    1.566919e+02    3.776123e+00   -8.416066e+00
    2124    2.187354e+02    3.578737e+00   -8.818229e+00
    2136    2.123632e+02    4.092566e+00   -3.100197e+00
    2148    1.514746e+02    3.080955e+00   -5.504602e+00
    2160    2.144514e+02    2.298518e+00    1.479132e+00
    2172    1.909552e+02    2.385480e+00   -1.077444e+00
    2184    1.326265e+02    4.647207e+00    1.222024e-01
    2196    1.913026e+02    4.935176e+00   -3.875696e+00
    2208    1.401759e+02    3.946108e+00   -1.120530e+01
    2220    1.315933e+02    7.020421e+00    1.452827e+00
    2232    1.417064e+02    8.966974e+00   -6.944589e+00
    2244    9.611733e+01    5.550418e+00   -1.024390e+01
    2256    1.200874e+02    7.947835e+00   -3.844033e+00
    2268    9.037435e+01    5.912069e+00   -3.162324e+00
    2280    1.107535e+02    7.311543e+00   -1.366922e+01
    2292    1.067034e+02    8.085840e+00   -1.021766e+01
    2304    8.218509e+01    2.866226e+00   -3.914437e+00
    2316    1.405038e+02    7.553513e+00   -1.721019e+01
    2328    1.412507e+02    6.968592e+00   -1.720503e+01
    2340    9.932519e+01    2.097728e+00   -5.461066e+00
    2352    1.493488e+02    5.989340e+00   -1.804595e+01
    2364    1.371021e+02    4.624002e+00   -1.425703e+01
    2376    1.124513e+02    1.973089e+00   -4.208391e+00
    2388    1.474369e+02    3.664256e+00   -1.406393e+01
    2400    1.238033e+02    2.771695e+00   -1.025643e+01
    2412    1.034995e+02    2.276282e+00   -4.431263e+00
    2424    1.225712e+02    2.096283e+00   -6.869180e+00
    2436    1.190490e+02    2.020439e+00   -6.168590e+00
    2448    1.045051e+02    2.353032e+00   -2.272044e+00
    2460    1.081047e+02    1.497054e+00   -5.683642e-01
    2472    1.223523e+02    1.676988e+00   -3.422417e+00
    2484    7.186427e+01    3.200040e+00   -1.242588e-01
    2496    6.685040e+01    2.934124e+00    6.426718e-01
