channel,state,eps,p,D_before,D_after,Sigma,F_petz,bound,tau_petz,tau_JRSWW,gap,holds
Amplitude Damping,|1>,0.5,0.3,0.6931471805599453,0.25324605992191734,0.43990112063802794,0.7692307692307692,0.8025584752166424,0.23076923076923084,0.19744152478335764,-0.0333277059858732,False
Amplitude Damping,|1>,0.5,0.35,0.6931471805599453,0.22067282962778972,0.47247435093215556,0.7407407407407408,0.7895933795450584,0.2592592592592592,0.21040662045494163,-0.04885263880431756,False
Amplitude Damping,|1>,0.5,0.4,0.6931471805599453,0.19204199316179826,0.501105187398147,0.7142857142857143,0.7783705415511709,0.2857142857142857,0.2216294584488291,-0.06408482726545661,False
Amplitude Damping,|1>,0.5,0.45,0.6931471805599453,0.16661511686733066,0.5265320636926146,0.689655172413793,0.768537414685536,0.31034482758620696,0.23146258531446395,-0.07888224227174301,False
Amplitude Damping,|1>,0.5,0.5,0.6931471805599453,0.14384103622589034,0.549306144334055,0.6666666666666666,0.7598356856515925,0.33333333333333337,0.24016431434840746,-0.09316901898492591,False
Amplitude Damping,|1>,0.5,0.55,0.6931471805599453,0.12329661813221865,0.5698505624277266,0.6451612903225807,0.7520704460108842,0.35483870967741926,0.24792955398911576,-0.1069091556883035,False
Amplitude Damping,|1>,0.5,0.6,0.6931471805599453,0.10464962875290959,0.5884975518070357,0.6250000000000001,0.745091107671223,0.3749999999999999,0.254908892328777,-0.12009110767122289,False
Amplitude Damping,|1>,0.5,0.65,0.6931471805599453,0.08763434795673203,0.6055128326032133,0.6060606060606061,0.7387790289834425,0.3939393939393939,0.2612209710165575,-0.13271842292283642,False
Amplitude Damping,|1>,0.5,0.7,0.6931471805599453,0.07203494405931324,0.6211122365006321,0.588235294117647,0.7330391863809292,0.41176470588235303,0.26696081361907076,-0.14480389226328227,False
Amplitude Damping,|1>,0.5,0.75,0.6931471805599453,0.05767378526954267,0.6354733952904026,0.5714285714285715,0.7277943931660272,0.4285714285714285,0.27220560683397277,-0.15636582173745572,False
Amplitude Damping,|1>,0.5,0.8,0.6931471805599453,0.044403007586882245,0.6487441729730631,0.5555555555555556,0.7229811807984657,0.4444444444444444,0.27701881920153426,-0.16742562524291016,False
Amplitude Damping,|1>,0.5,0.85,0.6931471805599453,0.03209829726013824,0.661048883299807,0.5405405405405405,0.7185467987317776,0.45945945945945954,0.2814532012682224,-0.17800625819123717,False
Amplitude Damping,|1>,0.5,0.9,0.6931471805599453,0.02065421891274627,0.6724929616471991,0.5263157894736841,0.7144469866302652,0.47368421052631593,0.2855530133697348,-0.1881311971565811,False
Amplitude Damping,|1>,0.5,0.95,0.6931471805599453,0.00998064694489965,0.6831665336150456,0.5128205128205128,0.7106442920747277,0.4871794871794872,0.2893557079252723,-0.1978237792542149,False
Amplitude Damping,|1>,0.5,1.0,0.6931471805599453,0.0,0.6931471805599453,0.5000000000000001,0.7071067811865476,0.4999999999999999,0.2928932188134524,-0.20710678118654746,False
Amplitude Damping,|+>,0.5,0.0,0.6931471805599452,0.6931471805599452,0.0,0.9999999999999996,1.0,4.440892098500626e-16,0.0,-4.440892098500626e-16,True
Amplitude Damping,|+>,0.5,0.05,0.6931471805599452,0.6268089141396408,0.06633826642030438,0.9755948656056708,0.9673749305244472,0.02440513439432923,0.03262506947555277,0.00821993508122354,True
Amplitude Damping,|+>,0.5,0.1,0.6931471805599452,0.5785294145832164,0.11461776597672879,0.952267016866645,0.9443023453841932,0.047732983133354945,0.05569765461580678,0.007964671482451835,True
Amplitude Damping,|+>,0.5,0.15,0.6931471805599452,0.536964231664988,0.1561829488949572,0.9298634768105474,0.9248798198034203,0.07013652318945263,0.07512018019657973,0.004983657007127107,True
