channel,p,state,D_before,D_after,Delta_D,exp_bound,F_J_petz,f_petz,F_J_identity,f_identity,tau,tau_bound,tau_identity,bound_holds,gap_FJ,gap_tau
Dephasing,0.01,random_mixed_2,0.012797230572006693,0.00040302599915153364,0.01239420457285516,0.9876822872361357,0.993792246881709,0.9968912914062942,0.9939138115817758,0.9969522614357098,0.0031087085937058223,0.006177939852341718,0.003047738564290192,True,0.00610995964557326,0.003069231258635896
Dephasing,0.01,random_mixed_3,0.2561448045271393,0.15212589121845002,0.10401891330868926,0.9012082524301451,0.952222233941606,0.9758187505585276,0.9531010068129108,0.9762689213597403,0.024181249441472374,0.05068011058961519,0.023731078640259695,True,0.05101398151146086,0.026498861148142816
Dephasing,0.02,|0>,0.6931471805589452,0.6931471805589452,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,0.0,0.0
Dephasing,0.02,|1>,0.6931471805589452,0.6931471805589452,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,True,0.0,0.0
Dephasing,0.02,|+>,0.6931471805589462,0.00020001333546716045,0.692947167223479,0.5001000166702336,0.5001999999999999,0.7072481884034768,0.5099999999999998,0.7141428428542849,0.2927518115965232,0.2928224998840576,0.28585715714571514,True,9.998332976624003e-05,7.068828753442613e-05
Dephasing,0.02,|->,0.6931471805589453,0.00020001333546716045,0.6929471672234782,0.5001000166702341,0.5001999999999999,0.7072481884034768,0.5099999999999998,0.7141428428542849,0.2927518115965232,0.2928224998840573,0.28585715714571514,True,9.998332976579594e-05,7.068828753409306e-05
Dephasing,0.02,|i+>,0.6931471805589453,0.00020001333546716045,0.6929471672234782,0.5001000166702341,0.5001999999999999,0.7072481884034768,0.5099999999999998,0.7141428428542849,0.2927518115965232,0.2928224998840573,0.28585715714571514,True,9.998332976579594e-05,7.068828753409306e-05
Dephasing,0.02,|i->,0.6931471805589453,0.00020001333546716045,0.6929471672234782,0.5001000166702341,0.5001999999999999,0.7072481884034768,0.5099999999999998,0.7141428428542849,0.2927518115965232,0.2928224998840573,0.28585715714571514,True,9.998332976579594e-05,7.068828753409306e-05
Dephasing,0.02,random_pure_0,0.6931471805589438,0.16424117755304574,0.5289060030058981,0.5892492541042512,0.6550304757439298,0.8093395305704089,0.6617945934562028,0.8135075866002743,0.19066046942959114,0.23237427472481664,0.18649241339972567,True,0.06578122163967859,0.0417138052952255
Dephasing,0.02,random_pure_1,0.6931471805589453,0.19061216830726643,0.5025350122516788,0.604995044283565,0.6781523294465609,0.8235000482371333,0.684463065826216,0.8273228304756348,0.1764999517628667,0.22218572635650025,0.17267716952436518,True,0.07315728516299591,0.045685774593633544
Dephasing,0.02,random_pure_2,0.6931471805589409,0.00343641118849973,0.6897107693704412,0.5017211612098177,0.5034324795468006,0.7095297594511456,0.5131691073479872,0.7163582255743192,0.2904702405488544,0.2916772196167783,0.28364177442568084,True,0.0017113183369829033,0.0012069790679238857
Dephasing,0.02,random_pure_3,0.6931471805589462,0.00926985420782616,0.6838773263511201,0.504656476187828,0.5092411752093933,0.713611361463222,0.518863897264111,0.7203220788398138,0.286388638536778,0.2896082234514338,0.2796779211601862,True,0.0045846990215652195,0.003219584914655793
Dephasing,0.02,random_pure_4,0.6931471805589462,0.002099354953328105,0.6910478256056181,0.5010507800714136,0.5020978854445189,0.7085886574342825,0.5118606851883524,0.7154443969927728,0.29141134256571755,0.2921505950617649,0.28455560300722715,True,0.0010471053731053725,0.0007392524960473379
