stage,sigma,tau
Wake,0.139426,0.190101
Wake,0.045552,0.321820
Wake,0.014859,0.243553
Wake,0.040545,0.257502
Wake,0.042424,0.168089
Wake,0.030966,0.254094
Wake,0.030052,0.179800
Wake,0.031494,0.196597
Wake,0.024719,0.271510
Wake,0.087489,0.196557
Wake,0.156852,0.370596
Wake,0.034206,0.188198
Wake,0.036962,0.220806
Wake,0.022767,0.291031
Wake,0.049981,0.254972
Wake,0.054701,0.246633
Wake,0.025167,0.144510
Wake,0.024039,0.192968
Wake,0.015783,0.186423
Wake,0.021937,0.141631
Wake,0.019502,0.188557
Wake,0.027452,0.140063
Wake,0.020766,0.206079
Wake,0.016299,0.193780
Wake,0.016691,0.158709
Wake,0.023037,0.182615
Wake,0.051761,0.133171
Wake,0.015876,0.174318
Wake,0.006041,0.168735
Wake,0.016765,0.188889
Wake,0.019783,0.141446
Wake,0.101957,0.136451
Wake,0.104833,0.308871
Wake,0.087463,0.231154
Wake,0.122911,0.095657
Wake,0.025987,0.232125
Wake,0.024433,0.191396
Wake,0.216360,0.125054
Wake,0.261653,0.371753
Wake,0.198171,0.120708
Wake,0.218631,0.349940
Wake,0.258419,0.101235
Wake,0.018889,0.289452
Wake,0.149564,0.313572
Wake,0.077302,0.126448
Wake,0.040387,0.235092
Wake,0.047012,0.207390
Wake,0.072482,0.131642
Wake,0.076650,0.234756
Wake,0.034289,0.218250
Wake,0.028722,0.216530
Wake,0.092815,0.302087
Wake,0.022759,0.179088
Wake,0.036305,0.179749
Wake,0.076075,0.294894
Wake,0.213437,0.121644
Wake,0.037235,0.328464
Wake,0.075291,0.297965
Wake,0.055457,0.190005
Wake,0.076287,0.217813
Wake,0.040466,0.184195
Wake,0.024374,0.230069
Wake,0.045608,0.224674
Wake,0.008246,0.248584
Wake,0.023756,0.216704
Wake,0.045554,0.207698
Wake,0.098827,0.236627
Wake,0.022432,0.220310
Wake,0.006091,0.161720
Wake,0.041260,0.139989
Wake,0.143619,0.251908
Wake,0.184293,0.084522
Wake,0.078785,0.271281
Wake,0.005903,0.173504
Wake,0.033736,0.140383
Wake,0.036303,0.184681
Wake,0.004406,0.124708
Wake,0.062562,0.107655
Wake,0.087304,0.129433
Wake,0.165964,0.297476
Wake,0.169802,0.098800
Wake,0.058436,0.260359
Wake,0.032730,0.214368
Wake,0.039880,0.155674
Wake,0.062696,0.209021
Wake,0.155217,0.186035
Wake,0.050655,0.273322
Wake,0.021343,0.217228
Wake,0.049659,0.152887
Wake,0.046115,0.202839
Wake,0.192334,0.322960
Wake,0.083163,0.123556
Wake,0.026445,0.204612
Wake,0.237530,0.131150
Wake,0.251431,0.345504
Wake,0.066828,0.128733
Wake,0.063144,0.259085
Wake,0.092542,0.137223
Wake,0.015057,0.248278
Wake,0.134931,0.266032
Wake,0.027979,0.118371
Wake,0.065497,0.143193
Wake,0.058291,0.214108
Wake,0.133507,0.320496
Wake,0.014558,0.171755
Wake,0.014330,0.159793
Wake,0.077893,0.121838
Wake,0.031285,0.218531
Wake,0.032534,0.187071
Wake,0.015524,0.174180
Wake,0.011554,0.195050
Wake,0.010916,0.204873
Wake,0.030306,0.196368
Wake,0.017411,0.255505
Wake,0.031531,0.252362
Wake,0.082523,0.276904
Wake,0.019369,0.189855
Wake,0.058340,0.138962
Wake,0.009969,0.217335
Wake,0.018613,0.197704
Wake,0.026453,0.205632
Wake,0.176475,0.306489
Wake,0.005630,0.137969
Wake,0.017086,0.137856
Wake,0.034896,0.197354
Wake,0.019307,0.174048
Wake,0.005902,0.136912
Wake,0.022199,0.118756
Wake,0.016932,0.155227
Wake,0.064272,0.201354
Wake,0.168104,0.105997
Wake,0.063797,0.258076
Wake,0.010794,0.171061
Wake,0.035369,0.171890
Wake,0.084481,0.089307
Wake,0.010720,0.171825
Wake,0.047799,0.169198
Wake,0.020082,0.160813
Wake,0.097292,0.113762
Wake,0.023771,0.221994
Wake,0.015759,0.179940
Wake,0.040649,0.217786
Wake,0.020257,0.187535
Wake,0.026101,0.208450
Wake,0.180965,0.323546
Wake,0.033171,0.133156
Wake,0.066326,0.205174
Wake,0.017967,0.134702
Wake,0.005191,0.143766
Wake,0.066374,0.128328
Wake,0.027222,0.201073
Wake,0.032653,0.242918
Wake,0.007855,0.183666
Wake,0.019112,0.198027
Wake,0.020390,0.166960
Wake,0.063227,0.153210
Wake,0.059650,0.254542
Wake,0.023284,0.180230
Wake,0.078309,0.122129
Wake,0.025666,0.228602
Wake,0.018521,0.188481
Wake,0.020705,0.145225
Wake,0.037270,0.203456
Wake,0.015161,0.143842
Wake,0.040922,0.155062
Wake,0.060352,0.199308
Wake,0.097235,0.221300
Wake,0.114302,0.368310
Wake,0.163424,0.309019
Wake,0.013616,0.147098
Wake,0.011899,0.187431
Wake,0.090964,0.143671
Wake,0.043395,0.185132
Wake,0.021179,0.175808
Wake,0.088160,0.159791
Wake,0.192610,0.299308
Wake,0.147682,0.095672
Wake,0.069327,0.250428
Wake,0.077198,0.139970
Wake,0.037999,0.207790
Wake,0.030061,0.254465
Wake,0.421223,0.390591
Wake,0.020351,0.113064
Wake,0.469080,0.071326
Wake,0.047476,0.323065
Wake,0.101841,0.322983
Wake,0.144063,0.151797
Wake,0.304453,0.369605
Wake,0.297373,0.097096
Wake,0.024344,0.277415
Wake,0.205319,0.391533
Wake,0.061043,0.224807
Wake,0.003779,0.132690
Wake,0.035238,0.114029
Wake,0.197782,0.136763
Wake,0.105798,0.325537
Wake,0.073377,0.250197
Wake,0.050456,0.138668
Wake,0.136658,0.184151
Wake,0.162203,0.247900
Wake,0.030897,0.150460
Wake,0.018728,0.182062
Wake,0.017996,0.182643
Wake,0.090265,0.113795
Wake,0.042865,0.247302
Wake,0.031170,0.190140
Wake,0.012442,0.220324
Wake,0.065607,0.242057
Wake,0.047575,0.136574
Wake,0.031329,0.168105
Wake,0.201783,0.091284
Wake,0.046979,0.247935
Wake,0.062327,0.178443
Wake,0.026374,0.247635
Wake,0.029937,0.286032
Wake,0.193705,0.375465
Wake,0.028858,0.173053
Wake,0.272646,0.175926
Wake,0.235763,0.456675
Wake,0.116960,0.244633
Wake,0.023079,0.188930
Wake,0.022972,0.179137
Wake,0.048064,0.235440
Wake,0.016830,0.146521
Wake,0.068130,0.143190
Wake,0.059624,0.262054
Wake,0.010001,0.171779
Wake,0.014784,0.185212
Wake,0.017015,0.181742
Wake,0.075054,0.171247
Wake,0.043558,0.188569
Wake,0.051849,0.279434
Wake,0.013374,0.197809
Wake,0.007683,0.193987
Wake,0.074228,0.250118
Wake,0.043453,0.125766
Wake,0.017535,0.200277
Wake,0.017011,0.196186
Wake,0.028643,0.196838
Wake,0.028035,0.135329
Wake,0.022378,0.187711
Wake,0.025214,0.187356
Wake,0.047616,0.182958
Wake,0.013150,0.203135
Wake,0.025083,0.189390
Wake,0.048168,0.254168
Wake,0.035349,0.210566
Wake,0.116526,0.149080
Wake,0.097159,0.273735
Wake,0.034312,0.147535
Wake,0.020560,0.204280
Wake,0.036016,0.224421
Wake,0.041292,0.147876
Wake,0.042362,0.231455
Wake,0.089690,0.132773
Wake,0.096578,0.280584
Wake,0.071960,0.134167
Wake,0.055222,0.232825
Wake,0.173507,0.300672
Wake,0.100119,0.123599
Wake,0.157524,0.190112
Wake,0.079641,0.395016
Wake,0.107373,0.214694
Wake,0.069976,0.382922
Wake,0.222300,0.385282
Wake,0.015946,0.173767
Wake,0.019990,0.164038
Wake,0.012243,0.191139
Wake,0.045603,0.207514
Wake,0.038149,0.275142
Wake,0.042267,0.210434
Wake,0.333767,0.129434
Wake,0.030648,0.316874
Wake,0.245141,0.393643
Wake,0.011198,0.183704
Wake,0.146708,0.143938
Wake,0.082536,0.258345
Wake,0.350329,0.393387
Wake,0.012035,0.202256
Wake,0.139056,0.280562
Wake,0.110390,0.138240
Wake,0.263249,0.330744
Wake,0.619656,0.072209
Wake,0.506246,0.417863
Wake,0.029346,0.124711
Wake,0.041833,0.185690
Wake,0.032547,0.207060
Wake,0.023930,0.155536
Wake,0.015623,0.166896
Wake,0.015290,0.207590
Wake,0.036311,0.188399
Wake,0.005879,0.156669
Wake,0.112510,0.102669
Wake,0.064063,0.258755
Wake,0.018704,0.205899
Wake,0.032963,0.201173
Wake,0.033494,0.205079
Wake,0.014173,0.190411
Wake,0.042512,0.156410
Wake,0.014240,0.211243
Wake,0.030765,0.203427
Wake,0.124106,0.134865
Wake,0.061307,0.284226
Wake,0.041097,0.219710
Wake,0.012230,0.177627
Wake,0.031616,0.207448
Wake,0.009498,0.160935
Wake,0.067960,0.129899
Wake,0.056863,0.249085
Wake,0.023575,0.144660
Wake,0.019222,0.192001
Wake,0.020459,0.226822
Wake,0.057609,0.183731
Wake,0.046537,0.247201
Wake,0.021183,0.195060
Wake,0.096965,0.167947
Wake,0.025507,0.290364
Wake,0.172317,0.309038
Wake,0.045768,0.199278
Wake,0.015872,0.154333
Wake,0.204977,0.086055
Wake,0.045324,0.260501
Wake,0.018411,0.191430
Wake,0.018769,0.198415
Wake,0.061877,0.176600
Wake,0.079631,0.104661
Wake,0.051612,0.210564
Wake,0.013476,0.155189
Wake,0.010562,0.122053
Wake,0.091486,0.130260
Wake,0.025850,0.208947
Wake,0.033774,0.221063
Wake,0.020744,0.235530
Wake,0.108654,0.291507
Wake,0.024890,0.177880
Wake,0.230298,0.089957
Wake,0.121450,0.278740
Wake,0.078133,0.225750
Wake,0.116778,0.152451
Wake,0.114904,0.316741
Wake,0.020282,0.196354
Wake,0.023260,0.164697
Wake,0.074904,0.172854
Wake,0.098122,0.303206
Wake,0.035264,0.198581
Wake,0.198395,0.120832
Wake,0.022353,0.247048
Wake,0.047506,0.297640
Wake,0.042536,0.219965
Wake,0.019840,0.167817
Wake,0.027328,0.179499
Wake,0.134429,0.248465
Wake,0.049984,0.099594
Wake,0.067999,0.142815
Wake,0.086285,0.246041
Wake,0.025193,0.133238
Wake,0.007391,0.179483
Wake,0.021125,0.179441
Wake,0.045841,0.115163
Wake,0.025320,0.169589
Wake,0.042801,0.214465
Wake,0.018708,0.239755
Wake,0.024237,0.204031
Wake,0.062790,0.204250
Wake,0.067749,0.318387
Wake,0.038316,0.210083
Wake,0.033484,0.245428
Wake,0.050406,0.327023
Wake,0.019209,0.223123
Wake,0.014210,0.269724
Wake,0.061107,0.272901
Wake,0.048597,0.209066
Wake,0.067984,0.181433
Wake,0.077972,0.261285
Wake,0.073135,0.134185
Wake,0.015133,0.231578
Wake,0.013663,0.221999
Wake,0.027981,0.195563
Wake,0.038449,0.231752
Wake,0.029977,0.257720
Wake,0.028262,0.242745
Wake,0.026229,0.219050
Wake,0.055242,0.233035
Wake,0.019105,0.168205
Wake,0.018642,0.181050
Wake,0.020631,0.175309
Wake,0.018968,0.207741
Wake,0.054784,0.268233
Wake,0.016822,0.203992
Wake,0.058668,0.167729
Wake,0.096296,0.203400
Wake,0.037298,0.328475
Wake,0.268542,0.376985
Wake,0.090923,0.129373
Wake,0.067625,0.227604
Wake,0.025369,0.286541
Wake,0.023992,0.316541
Wake,0.016994,0.350671
Wake,0.054269,0.342006
Wake,0.054409,0.293381
Wake,0.015154,0.210925
Wake,0.014631,0.177159
Wake,0.008665,0.185511
Wake,0.015194,0.191694
Wake,0.052943,0.164456
Wake,0.028362,0.188916
Wake,0.043197,0.201814
Wake,0.032479,0.278981
Wake,0.018957,0.227215
Wake,0.015368,0.191961
Wake,0.019236,0.213564
Wake,0.013919,0.197758
Wake,0.025833,0.177585
Wake,0.029805,0.195062
Wake,0.034592,0.247070
Wake,0.070282,0.173726
Wake,0.045212,0.277508
Wake,0.022658,0.213514
Wake,0.023044,0.183720
Wake,0.075324,0.177679
Wake,0.072496,0.229716
Wake,0.070405,0.133044
Wake,0.034913,0.213557
Wake,0.027721,0.160866
Wake,0.028409,0.172328
Wake,0.009662,0.191246
Wake,0.078047,0.255100
Wake,0.047784,0.133366
Wake,0.028689,0.216744
Wake,0.019374,0.165258
Wake,0.008024,0.157712
Wake,0.048370,0.159064
Wake,0.063901,0.245378
Wake,0.029724,0.149967
Wake,0.014224,0.191379
Wake,0.071043,0.214976
Wake,0.043150,0.160830
Wake,0.059768,0.106677
Wake,0.011657,0.189611
Wake,0.039968,0.152678
Wake,0.019925,0.220218
Wake,0.027615,0.186319
Wake,0.057189,0.266154
Wake,0.039140,0.165420
Wake,0.017367,0.225383
Wake,0.014129,0.192453
Wake,0.018575,0.227282
Wake,0.032619,0.196695
Wake,0.148607,0.181602
Wake,0.208903,0.393660
Wake,0.074097,0.168108
Wake,0.021529,0.255261
Wake,0.063791,0.275122
Wake,0.151668,0.425241
Wake,0.076296,0.271585
Wake,0.078437,0.239162
Wake,0.053883,0.113789
Wake,0.070344,0.169584
Wake,0.030740,0.194008
Wake,0.025985,0.149410
Wake,0.019538,0.160078
Wake,0.021823,0.177850
Wake,0.051015,0.192575
Wake,0.031255,0.211063
Wake,0.142996,0.146001
Wake,0.058651,0.278121
Wake,0.144248,0.190357
Wake,0.047551,0.120119
Wake,0.041588,0.169852
Wake,0.147858,0.235071
Wake,0.123610,0.170623
Wake,0.195003,0.359922
Wake,0.115224,0.163515
Wake,0.336498,0.207796
Wake,0.044704,0.243959
Wake,0.023095,0.190917
Wake,0.077978,0.157907
Wake,0.072796,0.281941
Wake,0.050725,0.158375
Wake,0.040220,0.248537
Wake,0.094392,0.142178
Wake,0.089967,0.310078
Wake,0.015416,0.196110
Wake,0.037199,0.188992
Wake,0.020811,0.232119
Wake,0.018219,0.179146
Wake,0.035450,0.199811
Wake,0.062119,0.251708
Wake,0.083673,0.166081
Wake,0.019647,0.174201
Wake,0.035855,0.160615
Wake,0.209870,0.137915
Wake,0.154833,0.380087
Wake,0.063443,0.232820
Wake,0.012797,0.190008
Wake,0.063464,0.160944
Wake,0.034908,0.247687
Wake,0.102392,0.186341
Wake,0.173727,0.306032
Wake,0.055127,0.142962
Wake,0.075252,0.262791
Wake,0.098303,0.155818
Wake,0.263808,0.117842
Wake,0.093191,0.275449
Wake,0.282921,0.127887
Wake,0.030099,0.296071
Wake,0.154343,0.345068
Wake,0.016518,0.197436
Wake,0.011023,0.210258
Wake,0.025759,0.205900
Wake,0.032455,0.219046
Wake,0.074896,0.147459
Wake,0.075544,0.281919
Wake,0.024213,0.192431
Wake,0.033508,0.151158
Wake,0.018754,0.182633
Wake,0.011961,0.217402
Wake,0.072443,0.183813
Wake,0.028760,0.283765
Wake,0.016783,0.257187
Wake,0.018350,0.255397
Wake,0.096701,0.309485
Wake,0.144797,0.143220
Wake,0.037930,0.288986
Wake,0.069497,0.246328
Wake,0.046432,0.270168
Wake,0.072571,0.340074
Wake,0.010496,0.239347
Wake,0.023286,0.248319
Wake,0.063793,0.210827
Wake,0.045336,0.260504
Wake,0.043926,0.172835
Wake,0.047380,0.257856
Wake,0.036543,0.164479
Wake,0.026270,0.229677
Wake,0.053832,0.247922
Wake,0.065783,0.178881
Wake,0.081187,0.283829
Wake,0.008294,0.182259
Wake,0.034658,0.184996
Wake,0.073008,0.200222
Wake,0.147741,0.370783
Wake,0.034799,0.187006
Wake,0.011833,0.242280
Wake,0.108556,0.306493
Wake,0.044072,0.152110
Wake,0.019457,0.221783
Wake,0.024829,0.214572
Wake,0.017262,0.161623
Wake,0.106764,0.156689
Wake,0.020327,0.285574
Wake,0.065998,0.257346
Wake,0.057505,0.208552
Wake,0.104007,0.129176
Wake,0.025425,0.237574
Wake,0.230802,0.160406
Wake,0.077995,0.376358
Wake,0.382398,0.404252
Wake,0.104820,0.114552
Wake,0.023595,0.211812
Wake,0.063340,0.263497
Wake,0.012425,0.178810
Wake,0.045529,0.196932
Wake,0.043956,0.263187
Wake,0.229790,0.173093
Wake,0.076642,0.339228
Wake,0.073040,0.304456
Wake,0.170681,0.161287
Wake,0.139786,0.374882
Wake,0.175853,0.164540
Wake,0.231362,0.375640
Wake,0.117844,0.257169
Wake,0.060477,0.176013
Wake,0.069529,0.251812
Wake,0.022692,0.245650
Wake,0.071632,0.226097
Wake,0.182984,0.145107
Wake,0.100490,0.336181
Wake,0.007775,0.201677
Wake,0.016453,0.206334
Wake,0.025518,0.212098
Wake,0.013729,0.249185
Wake,0.048354,0.305423
Wake,0.015671,0.235367
Wake,0.014944,0.268738
Wake,0.022471,0.251894
Wake,0.054904,0.195734
Wake,0.022196,0.263015
Wake,0.063530,0.329353
Wake,0.041781,0.227521
Wake,0.134893,0.242567
Wake,0.053427,0.271247
Wake,0.012259,0.197992
Wake,0.030701,0.220933
Wake,0.041710,0.252575
Wake,0.252499,0.192359
Wake,0.030103,0.406622
Wake,0.062941,0.386935
Wake,0.051532,0.291466
Wake,0.030152,0.240389
Wake,0.086926,0.224964
Wake,0.034061,0.209171
Wake,0.017100,0.191063
Wake,0.045376,0.218186
Wake,0.035833,0.256049
Wake,0.028037,0.249019
Wake,0.072339,0.198993
Wake,0.023924,0.220695
Wake,0.036946,0.290541
Wake,0.059285,0.212761
Wake,0.051477,0.167465
Wake,0.061884,0.266864
Wake,0.119906,0.224147
Wake,0.361405,0.404462
Wake,0.109110,0.262437
Wake,0.050447,0.149133
Wake,0.079076,0.167787
Wake,0.038126,0.309287
Wake,0.026716,0.236667
Wake,0.022340,0.242141
Wake,0.022663,0.193643
Wake,0.072140,0.216671
Wake,0.097447,0.263967
Wake,0.018994,0.154760
Wake,0.029647,0.138124
Wake,0.028547,0.201712
Wake,0.008196,0.142981
Wake,0.021109,0.149885
Wake,0.131688,0.102863
Wake,0.100365,0.205059
Wake,0.091037,0.260794
Wake,0.010619,0.173289
Wake,0.098143,0.127639
Wake,0.067444,0.209546
Wake,0.140405,0.362600
Wake,0.030576,0.182455
Wake,0.051641,0.263670
Wake,0.148257,0.188467
Wake,0.143272,0.408769
Wake,0.036112,0.223476
Wake,0.168307,0.320432
Wake,0.200503,0.134956
Wake,0.154661,0.335804
Wake,0.032631,0.152138
Wake,0.045125,0.190132
Wake,0.059876,0.275560
Wake,0.014852,0.192670
Wake,0.020849,0.233743
Wake,0.099283,0.179698
Wake,0.054692,0.289580
Wake,0.073104,0.280513
Wake,0.034015,0.161249
Wake,0.009314,0.210674
Wake,0.100383,0.193141
Wake,0.077855,0.301691
Wake,0.039001,0.247858
Wake,0.122768,0.167892
Wake,0.107305,0.334791
Wake,0.008259,0.200521
Wake,0.032189,0.181390
Wake,0.033162,0.273111
Wake,0.078831,0.178262
Wake,0.077319,0.303643
Wake,0.022367,0.207457
Wake,0.012949,0.226000
Wake,0.544061,0.131748
Wake,0.061481,0.411688
Wake,0.162121,0.448410
Wake,0.108992,0.335420
Wake,0.036666,0.218553
Wake,0.075299,0.141006
Wake,0.018970,0.225719
Wake,0.025171,0.187028
Wake,0.009626,0.221454
Wake,0.011280,0.229126
Wake,0.010756,0.220755
Wake,0.048207,0.210680
Wake,0.048578,0.199198
Wake,0.017512,0.196377
Wake,0.010365,0.177919
Wake,0.063428,0.208424
Wake,0.004974,0.131601
Wake,0.102770,0.087198
Wake,0.049798,0.190188
Wake,0.060127,0.103422
Wake,0.050789,0.176749
Wake,0.057814,0.189731
Wake,0.008996,0.161251
Wake,0.048294,0.195669
Wake,0.128509,0.134957
Wake,0.116277,0.301704
Wake,0.012111,0.180233
Wake,0.034223,0.139778
Wake,0.029535,0.209644
Wake,0.065259,0.132871
Wake,0.051493,0.171586
Wake,0.025048,0.245568
Wake,0.022289,0.180985
Wake,0.029781,0.198963
Wake,0.132655,0.170313
Wake,0.068427,0.280073
Wake,0.161861,0.141287
Wake,0.086057,0.335121
Wake,0.014432,0.205405
Wake,0.028613,0.204785
Wake,0.032206,0.269824
Wake,0.026672,0.251498
Wake,0.057386,0.257019
Wake,0.058150,0.258524
Wake,0.060516,0.334902
Wake,0.134326,0.212647
Wake,0.240412,0.365877
Wake,0.039355,0.210970
Wake,0.009354,0.262354
Wake,0.033390,0.263948
Wake,0.015770,0.296752
Wake,0.050441,0.233577
Wake,0.027112,0.318914
Wake,0.038203,0.325558
Wake,0.021773,0.255323
Wake,0.021851,0.288062
Wake,0.096902,0.289764
Wake,0.043995,0.190659
Wake,0.116950,0.184398
Wake,0.025021,0.327475
Wake,0.038591,0.329715
Wake,0.033911,0.294638
Wake,0.022864,0.260307
Wake,0.015185,0.257046
Wake,0.021267,0.220861
Wake,0.077692,0.196690
Wake,0.102946,0.341630
Wake,0.008016,0.207961
Wake,0.020176,0.196852
Wake,0.040092,0.247113
Wake,0.041959,0.155069
Wake,0.015162,0.232901
Wake,0.022302,0.191412
Wake,0.026855,0.235097
Wake,0.066529,0.266695
Wake,0.092641,0.132619
Wake,0.208088,0.200871
Wake,0.272861,0.437767
Wake,0.111873,0.165143
Wake,0.178593,0.327458
Wake,0.092280,0.132036
Wake,0.100135,0.262996
Wake,0.017795,0.143615
Wake,0.052982,0.188072
Wake,0.234473,0.072755
Wake,0.028505,0.206689
Wake,0.087676,0.256796
Wake,0.026481,0.170527
Wake,0.170652,0.098633
Wake,0.083743,0.219369
Wake,0.010793,0.169798
Wake,0.015388,0.142463
Wake,0.009423,0.167614
Wake,0.005770,0.147624
Wake,0.034032,0.180270
Wake,0.037162,0.104689
Wake,0.013918,0.163846
Wake,0.145502,0.137779
Wake,0.111198,0.247494
Wake,0.060993,0.188685
Wake,0.133084,0.080336
Wake,0.018710,0.169054
Wake,0.024244,0.216935
Wake,0.136031,0.150455
Wake,0.016672,0.244834
Wake,0.083576,0.186475
Wake,0.156167,0.319417
Wake,0.098474,0.191183
Wake,0.102036,0.301459
Wake,0.022845,0.161844
Wake,0.012114,0.161753
Wake,0.016289,0.171812
Wake,0.063130,0.239555
Wake,0.068922,0.169486
